Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_Mm,Co2_Emissions_Mt,Crop_Yield_Mt_Per_Ha,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_Kg_Per_Ha,Fertilizer_Use_Kg_Per_Ha,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_Usd,Climate_Stress_Index,Yield_Per_Input
1990,China,Central,Vegetables,0.602900725,0.506204635,0.497966102,0.7625,0.3,0.916092465,0.00880176,0.323129252,0.778222349,Drought-resistant Crops,1,334.349,0.110867634
1990,Usa,Midwest,Barley,0.803700925,0.987580014,0.497966102,0.34375,0.3,0.417426095,0.812162432,0.145358143,0.496713347,Water Management,0.245376007,606.282,0.034455128
1990,Russia,Northwestern,Coffee,0.735433858,0.488801652,0.477288136,0.418981481,0.4,0.668815292,0.175235047,0.794317727,0.703343813,Drought-resistant Crops,0.559542005,326.212,0.025339164
1990,Nigeria,South West,Sugarcane,0.343085771,0.305627393,0.629152542,0.139583333,0.5,0.724938875,0.612922585,0.180372149,0.81266076,Crop Rotation,0.28570966,220.489,0.021187123
1990,Brazil,Northeast,Fruits,0.957739435,0.389845402,0.497966102,0.139583333,0.2,0.832073794,0.25605121,0.319827931,0.864675622,Drought-resistant Crops,0.263094837,273.256,0.022991266
1990,France,Grand Est,Wheat,0.403100775,0.248449734,0.290169492,0.986111111,0.3,0.734274283,0.165833167,0.886954782,0.616604744,Organic Farming,0.347120042,185.795,0.048071035
1990,Nigeria,North West,Barley,0.980245061,0.226324513,0.270169492,0.414351852,0.5,0.025338964,0.436487297,0.351940776,0.681051729,Drought-resistant Crops,0.659158615,180.554,0.038600724
1990,Usa,Midwest,Coffee,0.848212053,0.506204635,0.969152542,0.5375,1,0.196265837,0.174634927,0.805322129,0.716490426,Crop Rotation,0.597453566,342.862,0.030711279
1990,Russia,Siberian,Fruits,0.035508877,0.348941961,0.181016949,0.150462963,0.5,0.359968882,0.774954991,0.181972789,0.249499857,Water Management,0.193378753,237.085,0.018978606
1990,Canada,Northeast,Corn,0.507376844,0.192736612,0.153559322,0.652777778,0.8,0.502222716,0.116023205,0.094137655,0.211488997,Crop Rotation,0.719872808,155.643,0.20135468
1990,China,Northeast,Cotton,0.241310328,0.538781648,0.497966102,0.395833333,0.8,0.562236052,0.932986597,0.031012405,0.496427551,Drought-resistant Crops,0.189279331,349.251,0.04254481
1990,Usa,Midwest,Coffee,0.848212053,0.506204635,0.969152542,0.5375,1,0.196265837,0.49829966,0.805322129,0.716490426,Crop Rotation,0.597453566,342.862,0.026042841
1990,Russia,Siberian,Sugarcane,0.252063016,0.085014574,0.747118644,0.435416667,0.5,0.217048233,0.392478496,0.850740296,0.454272649,No Adaptation,0.347120042,96.919,0.022055067
1990,India,North West,Fruits,0.769692423,0.119741956,0.230847458,0.284722222,0.1,0.318959769,0.082016403,0.121248499,0.82180623,Drought-resistant Crops,0.299704686,117.204,0.097391304
1990,China,Central,Vegetables,0.523130783,0.479392896,0.55559322,0.360416667,0.5,0.546343632,0.450890178,0.37645058,0.496713347,Drought-resistant Crops,0.504125327,319.29,0.032794118
1990,Argentina,Northeast,Corn,0.3975994,0.185828285,0.356949153,0.395833333,0,0.924872194,0.74054811,0.49719888,0.443698199,Crop Rotation,0.167888506,150.658,0.024615385
1990,Canada,British Columbia,Soybeans,0.013753438,0.849720666,0.647118644,0.139583333,0.5,0.773282952,0.776755351,0.953681473,0.445698771,Drought-resistant Crops,0.169144885,521.337,0.007789038
1990,Canada,Quebec,Vegetables,0.743935984,0.460325341,0.571186441,0.710416667,0,0.502222716,0.549909982,0.192977191,0.212346385,No Adaptation,0.638661503,310.401,0.073603849
1990,Russia,Central,Rice,0.994498625,0.322691033,0.255932203,0.173611111,0.9,0.952433874,0.193238648,0.49719888,0.797513575,No Adaptation,0.318906562,235.355,0.01987084
1990,Australia,New South Wales,Corn,0.386346587,0.786127622,0.742711864,0.28125,0.4,0.454434319,0.49829966,0.31062425,0.496713347,Drought-resistant Crops,0.347120042,490.847,0.029215652
1990,Usa,Midwest,Barley,0.502375594,0.440464794,0.361355932,0.138888889,0,0.682151589,0.789157832,0.715686275,0.95212918,Crop Rotation,0.146530062,294.526,0.009373326
1990,China,North,Rice,0.909727432,0.26102689,0.758305085,0.41875,0.5,0.36452545,0.75535107,0.671968788,0.496713347,Drought-resistant Crops,0.629892754,203.458,0.021319366
1990,Argentina,Pampas,Soybeans,0.870217554,0.292885923,0.018305085,0.113425926,0.8,0.228495221,0.818563713,0.172769108,0.397399257,Drought-resistant Crops,0.347120042,214.873,0.015873016
1990,Russia,Siberian,Corn,0.308327082,0.223120392,0.832542373,0.233333333,0.7,0.349522116,0.053410682,0.637054822,0.466990569,Water Management,0.290314224,176.076,0.021638468
1990,India,South,Sugarcane,0.980245061,0.971670143,0.146440678,0.111111111,0.9,0.686597022,0.652130426,0.49719888,0.805087168,No Adaptation,0.121195244,597.581,0.011160446
1990,Usa,Northeast,Fruits,0.760690173,0.584028691,0.431525424,0.763888889,0.5,0.538564125,0.065213043,0.68667467,0.496713347,Water Management,0.768832733,379.628,0.051419169
1990,China,Northeast,Sugarcane,0.094773693,0.602392553,0.610847458,0.020833333,0.6,0.502222716,0.628325665,0.261704682,0.060302944,No Adaptation,0.114680206,383.708,0.009215017
1990,India,New South Wales,Fruits,0.893223306,0.682002629,0.809491525,0.675,0.1,0.812513892,0.412682537,0.593637455,0.763218062,Water Management,0.692744087,438.619,0.041555556
1990,Nigeria,South East,Corn,0.381595399,0.9528312,0.073898305,0.655092593,1,0.245499,0.208241648,0.592236895,0.116033152,No Adaptation,0.7687874,579.409,0.046432616
1990,Australia,Western Australia,Wheat,0.223555889,0.496267217,0.993898305,0.033333333,0.4,0.913202934,0.393278656,0.087334934,0.576450414,Crop Rotation,0.0873572,328.823,0.020190347
1990,Argentina,Northeast,Cotton,0.818704676,0.386759159,0.72,0.089583333,0.4,0.404756613,0.846769354,0.458983593,0.593169477,Crop Rotation,0.075466933,272.225,0.009379202
1990,China,Central,Vegetables,0.16504126,0.196551552,0.730169492,0.15625,0.8,0.217048233,0.367673535,0.976790716,0.604744213,Water Management,0.323323317,158.775,0.009611277
1990,Argentina,Pampas,Coffee,0.815203801,0.305213037,0.992881356,0.508333333,1,0.07501667,0.072214443,0.359543818,0.453272364,Crop Rotation,0.784330233,230.14,0.065204534
1990,India,Northeast,Sugarcane,0.067516879,0.64964351,0.242372881,0.43287037,0.5,0.326517004,0.881776355,0.052420968,0.938696771,Crop Rotation,0.242953915,406.376,0.046077458
1990,India,Maharashtra,Cotton,0.502375594,0.439782534,0.495254237,0.210416667,0.7,0.464547677,0.873174635,0.029411765,0.339239783,Organic Farming,0.347120042,296.729,0.028538429
1990,Russia,Volga,Soybeans,0.727931983,0.682245528,0.299661017,0.081018519,0.4,0.604912203,0.124424885,0.49719888,0.228636753,No Adaptation,0.347120042,432.86,0.01404741
1990,China,South,Barley,0.881970493,0.789156713,0.334576271,0.534722222,0.3,0.502222716,0.041208242,0.598739496,0.096170334,Water Management,0.494922674,494.677,0.043851287
1990,Usa,West,Wheat,0.092773193,0.543736069,0.665762712,0.147916667,0.1,0.597354968,0.353070614,0.544617847,0.496713347,Water Management,0.13359713,350.328,0.014893326
1990,Brazil,Northeast,Fruits,0.550887722,0.79396468,0.297627119,0.293981481,1,0.095910202,0.49829966,0.614745898,0.815947414,Water Management,0.347120042,494.47,0.019681886
1990,Brazil,North,Cotton,0.502375594,0.170929302,0.51559322,0.66875,1,0.535118915,0.481696339,0.230392157,0.94298371,No Adaptation,0.621396005,146.977,0.069360199
1990,Russia,Siberian,Soybeans,0.838709677,0.786202635,0.497966102,0.220833333,0.1,0.608246277,0.194238848,0.755802321,0.496713347,Crop Rotation,0.217327669,493.55,0.016270715
1990,Usa,South,Wheat,0.257314329,0.506204635,0.286440678,0.30787037,0.5,0.058235163,0.49829966,0.029111645,0.272935124,No Adaptation,0.223059089,328.731,0.06169844
1990,Australia,Victoria,Cotton,0.510877719,0.719151855,0.030169492,0.761574074,0.7,0.954989998,0.127825565,0.015506202,0.066590454,Drought-resistant Crops,0.87213429,449.135,0.416945373
1990,France,Northeast,Cotton,0.96324081,0.217998085,0.907118644,0.547916667,0.8,0.69326517,0.763152631,0.866946779,0.581880537,Organic Farming,0.347120042,181.925,0.022385569
1990,India,West Bengal,Cotton,0.070517629,0.295147025,0.007457627,0.305555556,0.5,0.983218493,0.115623125,0.906662665,0.555587311,Drought-resistant Crops,0.153712147,205.849,0.018165025
1990,France,Provence-Alpes-Cote D’Azur,Fruits,0.502125531,0.024307738,0.599322034,0.395833333,1,0.604689931,0.49829966,0.299819928,0.496713347,Water Management,0.564962568,65.621,0.038633518
1990,Nigeria,North West,Fruits,0.694173543,0.712000629,0.735932203,0.327083333,0.1,0.502222716,0.49829966,0.129951981,0.672620749,Organic Farming,0.496470482,452.376,0.047855125
1990,Russia,Northwestern,Corn,0.9939985,0.344326885,0.433220339,0.189814815,0.6,0.316070238,0.884976995,0.631752701,0.138611032,Organic Farming,0.329255498,248.432,0.011713706
1990,Argentina,Northeast,Corn,0.502375594,0.79032477,0.707457627,0.29375,0.9,0.042787286,0.668133627,0.975790316,0.346384681,Water Management,0.147734632,495.277,0.013025688
1990,Brazil,Northeast,Corn,0.372843211,0.530219466,0.004745763,0.050925926,0.3,0.185263392,0.133626725,0.49719888,0.97956559,Crop Rotation,0.180892677,340.67,0.011670441
1990,Nigeria,North West,Wheat,0.197549387,0.624496342,0.199322034,0.252314815,0.8,0.590353412,0.413482697,0.49719888,0.805801658,No Adaptation,0.286538611,394.075,0.021568627
1990,China,East,Sugarcane,0.253063266,0.546840173,0.997627119,0.170833333,0.1,0.893643032,0.968193639,0.49719888,0.454844241,Organic Farming,0.084812061,356.926,0.011984263
1990,Australia,New South Wales,Sugarcane,0.791197799,0.302841201,0.788135593,0.63125,0.2,0.789731051,0.229045809,0.49719888,0.496713347,Drought-resistant Crops,0.952050359,225.112,0.051093599
1990,Australia,Victoria,Cotton,0.164791198,0.407266246,0.870508475,0.477083333,0.3,0.99177595,0.25065013,0.840136054,0.496713347,No Adaptation,0.322960651,276.994,0.025743285
1990,Nigeria,South East,Rice,0.732433108,0.928702063,0.733898305,0.725,0.2,0.788286286,0.423484697,0.882653061,0.372249214,Water Management,0.978123462,574.349,0.032436838
1990,India,Tamil Nadu,Soybeans,0.735683921,0.353992827,0.029491525,0.196759259,0.8,0.502222716,0.696139228,0.409463786,0.450557302,Organic Farming,0.121940005,247.572,0.016935904
1990,Brazil,Northeast,Sugarcane,0.188047012,0.22082357,0.884745763,0.385416667,0.3,0.60313403,0.205641128,0.731492597,0.338382395,Water Management,0.154016527,173.009,0.025050338
1990,Australia,Western Australia,Cotton,0.502375594,0.726403098,0.583728814,0.3125,0,0.684040898,0.517903581,0.642056823,0.01900543,Water Management,0.487708209,456.592,0.019758507
1990,India,West Bengal,Sugarcane,0.321330333,0.692915214,0.188813559,0.418981481,0.5,0.218937542,0.24444889,0.06292517,0.930837382,Organic Farming,0.19572313,433.175,0.115660184
1990,France,Ile-De-France,Rice,0.973493373,0.844041121,0.601694915,0.708333333,0.7,0.21527006,0.891978396,0.779911965,0.334809946,No Adaptation,0.431987151,529.669,0.028402654
1990,Russia,Northwestern,Soybeans,0.502375594,0.286602703,0.497966102,0.395833333,0.6,0.948655257,0.696139228,0.523209284,0.464132609,Organic Farming,0.696985986,210.787,0.024509248
1990,China,Northeast,Wheat,0.510377594,0.506204635,0.997627119,0.360416667,0.5,0.675594577,0.99159832,0.227991196,0.537867962,Crop Rotation,0.484178691,338.061,0.02734705
1990,China,Northeast,Fruits,0.888972243,0.574994999,0.497966102,0.613425926,0.9,0.447543899,0.201040208,0.49719888,0.843098028,Drought-resistant Crops,0.917694221,377.497,0.05100362
1990,Canada,Northeast,Corn,0.434858715,0.636737726,0.551864407,0.789583333,0.5,0.502222716,0.49829966,0.043617447,0.219919977,Drought-resistant Crops,1,406.296,0.127425743
1990,India,Punjab,Vegetables,0.488122031,0.279980139,0.710169492,0.45,0.2,0.502222716,0.840368074,0.341536615,0.496713347,Organic Farming,0.439421807,207.986,0.031018399
1990,India,Ile-De-France,Cotton,0.669917479,0.291578556,0.70779661,0.308333333,0.6,0.585463436,0.383476695,0.93747499,0.496713347,Drought-resistant Crops,0.122613527,217.44,0.015643929
1990,Russia,Volga,Barley,0.211302826,0.674122707,0.729830508,0.045833333,0.5,0.788619693,0.884576915,0.541816727,0.595170049,Organic Farming,0.089028055,426.121,0.006518459
1990,Australia,Queensland,Wheat,0.412603151,0.011623421,0.437627119,0.395833333,0,0.54056457,0.149029806,0.893157263,0.791654759,No Adaptation,1,54.014,0.022094926
1990,India,Maharashtra,Wheat,0.533883471,0.445779991,0.009830508,0.37962963,0.5,0.342853968,0.388277656,0.776410564,0.65775936,Drought-resistant Crops,0.277251768,295.769,0.021315655
1990,India,Punjab,Vegetables,0.609152288,0.965611962,0.505762712,0.666666667,0.1,0.469104245,0.664932987,0.478691477,0.496713347,Organic Farming,0.622037147,591.317,0.040550414
1990,Australia,Northeast,Cotton,0.256814204,0.633805081,0.407118644,0.136574074,1,0.706490331,0.49629926,0.765506202,0.765790226,Crop Rotation,0.065506567,402.237,0.010160219
1990,China,Central,Cotton,0.158789697,0.844326885,0.055254237,0.472222222,0.3,0.787841743,0.168833767,0.889455782,0.355387254,Drought-resistant Crops,0.473590135,514.419,0.025310022
1990,Nigeria,South West,Vegetables,0.636909227,0.061846317,0.390847458,0.6,0.6,0.557123805,0.891778356,0.040116046,0.436839097,Drought-resistant Crops,0.344765951,85.611,0.061305925
1990,India,Northeast,Barley,0.584396099,0.070833571,0.715932203,0.36875,0.8,0.502222716,0.328865773,0.337835134,0.496713347,No Adaptation,0.347120042,93.29,0.039871194
1990,India,Tamil Nadu,Corn,0.502375594,0.605314482,0.497966102,0.395833333,0.8,0.72082685,0.852770554,0.049019608,0.718919691,Water Management,0.320525607,389.635,0.044481054
1990,China,South,Corn,0.441860465,0.641713579,0.836610169,0.339583333,0.5,0.214825517,0.954990998,0.2520008,0.953415262,No Adaptation,0.176061446,411.686,0.025919416
1990,Russia,Central,Coffee,0.92548137,0.012787906,0.546440678,0.495833333,0.8,0.659813292,0.49829966,0.49719888,0.051586167,Crop Rotation,0.540184701,63.382,0.034267583
1990,France,Nouvelle-Aquitaine,Rice,0.694173543,0.105264474,0.271186441,0.497916667,0.2,0.614025339,0.697139428,0.379451781,0.017147757,Crop Rotation,0.427240111,108.749,0.035239127
1990,Usa,South,Wheat,0.257314329,0.506204635,0.286440678,0.30787037,0.5,0.058235163,0.49829966,0.029111645,0.496713347,No Adaptation,0.223059089,328.731,0.06169844
1990,India,Punjab,Fruits,0.225556389,0.410713265,0.92440678,0.491666667,1,0.453989776,0.788957792,0.014305722,0.96198914,No Adaptation,0.368533534,281.53,0.061431981
1990,Argentina,Pampas,Fruits,0.502375594,0.831096045,0.497966102,0.110416667,0.5,0.502222716,0.069213843,0.664365746,0.308230923,No Adaptation,0.224522705,515.451,0.013074753
1990,Australia,Queensland,Vegetables,0.723930983,0.280040864,0.748135593,0.514583333,0.5,0.553789731,0.087217443,0.137955182,0.779651329,Drought-resistant Crops,0.485350879,211.785,0.139363921
1990,Russia,Volga,Cotton,0.348587147,0.680981025,0.497966102,0.152083333,0.4,0.779839964,0.109621924,0.445078031,0.496713347,No Adaptation,0.268042639,429.356,0.021705882
1990,India,Punjab,Sugarcane,0.144536134,0.506204635,0.497966102,0.416666667,0.3,0.807846188,0.196239248,0.833233293,0.298085167,No Adaptation,0.423503355,328.85,0.023903113
1990,Russia,Siberian,Soybeans,0.646411603,0.641570698,0.11220339,0.574074074,0.5,0.297066015,0.115223045,0.49719888,0.117319234,Water Management,0.269519208,407.649,0.051867587
1990,Nigeria,Northeast,Wheat,0.467366842,0.506204635,0.896949153,0.672916667,0.7,0.879195377,0.679135827,0.243797519,0.391254644,Crop Rotation,0.23916535,337.054,0.056562763
1990,Russia,Siberian,Corn,0.151037759,0.506204635,0.753898305,0.395833333,0.7,0.64025339,0.919783957,0.915966387,0.851957702,Water Management,0.538228894,331.993,0.01558779
1990,Brazil,Northeast,Rice,0.261565391,0.162327828,0.04,0.395833333,1,0.468104023,0.0040008,0.972288916,0.142897971,Crop Rotation,0.476834702,135.063,0.021946759
1990,Canada,British Columbia,Barley,0.451862966,0.003557753,0.485084746,0.25,0.5,0.689597688,0.804360872,0.49719888,0.443555302,Water Management,0.127548377,51.389,0.01682428
1990,India,Quebec,Corn,0.861715429,0.81228925,0.437627119,0.270833333,0.5,0.747832852,0.691338268,0.095338135,0.027722206,No Adaptation,0.232423646,508.698,0.035904255
1990,Brazil,North,Vegetables,0.927231808,0.167450134,0.663728814,0.45625,0.8,0.310402312,0.49829966,0.555922369,0.561303229,No Adaptation,0.347120042,151.037,0.029701877
1990,Argentina,Pampas,Vegetables,0.563890973,0.506204635,0.616949153,0.702083333,0.3,0.364969993,0.24484897,0.49719888,0.041011718,Crop Rotation,0.518878066,334.934,0.055312053
1990,Australia,New South Wales,Wheat,0.362590648,0.211750586,0.685084746,0.395833333,1,0.577239387,0.733946789,0.18677471,0.183195199,Drought-resistant Crops,0.411755563,169.656,0.038304664
1990,Argentina,Northwest,Coffee,0.423105776,0.78145182,0.334576271,0.395833333,0.4,0.290175595,0.428085617,0.532312925,0.464561303,Crop Rotation,0.297794213,485.058,0.028556319
1990,Usa,West,Barley,0.717929482,0.719794822,0.213559322,0.395833333,1,0.490775728,0.100420084,0.808323329,0.779651329,Crop Rotation,0.407533093,454.202,0.024870466
1990,China,Central,Vegetables,0.527631908,0.506204635,0.376271186,0.564814815,0,0.369415426,0.49829966,0.265106042,0.998856816,Crop Rotation,0.282380903,331.769,0.055110603
1990,France,Provence-Alpes-Cote D’Azur,Rice,0.704926232,0.29013188,0.691525424,0.50625,0,0.760168926,0.780156031,0.106042417,0.496713347,Drought-resistant Crops,0.515581691,215.706,0.052083745
1990,China,South,Cotton,0.771192798,0.272628879,0.333220339,0.238425926,0.8,0.668815292,0.455691138,0.860544218,0.496713347,Organic Farming,0.251910473,205.13,0.013475371
1990,Russia,Central,Cotton,0.527381845,0.057016917,0.755254237,0.702083333,0.5,0.420982441,0.344868974,0.485094038,0.496713347,Organic Farming,0.824722172,84.618,0.052171959
1990,Canada,British Columbia,Fruits,0.893973493,0.650432931,0.308813559,0.277777778,0.5,0.57501667,0.678335667,0.790516206,0.038296656,No Adaptation,0.166198223,417.321,0.014478764
1990,Usa,Northeast,Soybeans,0.546636659,0.177019632,0.497966102,0.377314815,1,0.104578795,0.599519904,0.538515406,0.659902829,Organic Farming,0.297943165,150.762,0.024519627
1990,Argentina,Northeast,Fruits,0.886471618,0.709896697,0.476949153,0.761574074,0.8,0.165925761,0.49829966,0.920168067,0.823663904,Crop Rotation,0.347120042,452.613,0.031716418
1990,France,Nouvelle-Aquitaine,Fruits,0.55463866,0.506204635,0.974915254,0.29375,0.3,0.971549233,0.539307862,0.479391757,0.935553015,Drought-resistant Crops,0.116908012,337.991,0.022645238
1990,India,Volga,Wheat,0.281570393,0.096337944,0.925762712,0.152083333,0.3,0.695599022,0.794758952,0.072028812,0.242069163,Organic Farming,0.289847939,104.794,0.023081735
1990,Russia,Volga,Soybeans,0.326581645,0.181731154,0.117966102,0.342592593,0.2,0.688597466,0.49829966,0.332332933,0.623749643,Crop Rotation,0.309185815,145.797,0.032623394
1990,India,Quebec,Coffee,0.479869967,0.375217894,0.085423729,0.555555556,1,0.821071349,0.821364273,0.140656263,0.042726493,Water Management,0.681235914,257.282,0.050756901
1990,Australia,Western Australia,Cotton,0.388097024,0.105707407,0.577627119,0.810416667,0.6,0.359302067,0.911782356,0.995398159,0.09717062,Crop Rotation,0.236801544,108.837,0.02704127
1990,Brazil,Northeast,Wheat,0.866216554,0.506204635,0.343728814,0.261574074,0,0.074016448,0.032606521,0.300820328,0.94927122,Organic Farming,0.458358159,335.543,0.048273755
1990,India,Tamil Nadu,Sugarcane,0.358339585,0.829024261,0.497966102,0.523148148,0.5,0.971993776,0.209841968,0.170568227,0.472134896,Drought-resistant Crops,0.627075616,512.563,0.094854743
1990,Nigeria,South West,Soybeans,0.590647662,0.029040693,0.497966102,0.885416667,0.3,0.000333407,0.49829966,0.401660664,0.754072592,Crop Rotation,1,67.036,0.064684521
1990,France,Provence-Alpes-Cote D’Azur,Vegetables,0.184546137,0.700523661,0.860677966,0.272916667,1,0.820960213,0.225645129,0.769907963,0.496713347,No Adaptation,0.214886149,442.74,0.018248012
1990,India,Tamil Nadu,Wheat,0.502375594,0.317779476,0.092542373,0.164351852,0.7,0.571904868,0.644728946,0.49719888,0.509574164,Water Management,0.173924306,224.855,0.013982642
1990,Nigeria,North West,Barley,0.875468867,0.607271961,0.514237288,0.683333333,0.9,0.338519671,0.631726345,0.443477391,0.682480709,Organic Farming,0.713318913,395.551,0.044216272
1990,India,West Bengal,Wheat,0.502375594,0.510801852,0.497966102,0.1625,0.1,0.277728384,0.027405481,0.49719888,0.496713347,Organic Farming,0.347120042,335.317,0.022111324
1990,Russia,Volga,Barley,0.552888222,0.067529434,0.782372881,0.86875,0.3,0.16648144,0.49829966,0.676470588,0.72320663,Water Management,0.588626532,90.65,0.044923044
1990,Nigeria,South West,Rice,0.352338085,0.430209464,0.723050847,0.333333333,0.7,0.619359858,0.197839568,0.797619048,0.977422121,Water Management,0.217878144,291.585,0.020849421
1990,Australia,Western Australia,Fruits,0.915728932,0.538570898,0.049152542,0.791666667,0.2,0.337519449,0.068613723,0.094237695,0.716776222,Organic Farming,0.910194804,352.052,0.278818444
1990,Australia,Queensland,Fruits,0.492373093,0.737676459,0.062033898,0.365740741,0.4,0.771060236,0.976195239,0.032713085,0.680337239,No Adaptation,0.347120042,458.967,0.038229755
1990,Nigeria,North Central,Coffee,0.549637409,0.506204635,0.292881356,0.814814815,0.9,0.154367637,0.082816563,0.987294918,0.496713347,No Adaptation,0.978486128,333.095,0.038224533
